<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.26347	1.26434	1.26284	1.26344	826	0	41
2022.01.03	01:00:00	1.26360	1.26597	1.26280	1.26592	1071	0	7
2022.01.03	02:00:00	1.26592	1.26592	1.26480	1.26537	1159	0	2
2022.01.03	03:00:00	1.26537	1.26646	1.26446	1.26620	1140	0	0
2022.01.03	04:00:00	1.26620	1.26742	1.26613	1.26733	1507	0	0
2022.01.03	05:00:00	1.26733	1.26856	1.26709	1.26784	793	0	0
2022.01.03	06:00:00	1.26784	1.26801	1.26688	1.26764	753	0	1
2022.01.03	07:00:00	1.26762	1.26823	1.26759	1.26798	639	0	0
2022.01.03	08:00:00	1.26798	1.26856	1.26754	1.26781	796	0	0
2022.01.03	09:00:00	1.26781	1.26860	1.26748	1.26754	1193	0	1
2022.01.03	10:00:00	1.26754	1.26781	1.26665	1.26716	1980	0	0
2022.01.03	11:00:00	1.26719	1.26838	1.26704	1.26801	1818	0	0
2022.01.03	12:00:00	1.26802	1.26813	1.26743	1.26807	1356	0	0
2022.01.03	13:00:00	1.26807	1.26847	1.26786	1.26827	1621	0	1
2022.01.03	14:00:00	1.26827	1.26858	1.26799	1.26816	1241	0	1
2022.01.03	15:00:00	1.26815	1.27193	1.26815	1.27159	2371	0	1
2022.01.03	16:00:00	1.27157	1.27485	1.27145	1.27392	4035	0	0
2022.01.03	17:00:00	1.27390	1.27788	1.27339	1.27726	5082	0	0
2022.01.03	18:00:00	1.27723	1.27732	1.27520	1.27563	2989	0	0
2022.01.03	19:00:00	1.27563	1.27594	1.27500	1.27551	1896	0	0
2022.01.03	20:00:00	1.27550	1.27557	1.27436	1.27438	1068	0	0
2022.01.03	21:00:00	1.27438	1.27543	1.27438	1.27468	1701	0	0
2022.01.03	22:00:00	1.27469	1.27580	1.27435	1.27520	1882	0	0
2022.01.03	23:00:00	1.27520	1.27543	1.27435	1.27438	825	0	4
2022.01.04	00:00:00	1.27426	1.27496	1.27368	1.27467	2206	0	65
2022.01.04	01:00:00	1.27467	1.27512	1.27432	1.27511	855	0	10
2022.01.04	02:00:00	1.27510	1.27550	1.27432	1.27459	972	0	0
2022.01.04	03:00:00	1.27460	1.27538	1.27370	1.27526	946	0	1
2022.01.04	04:00:00	1.27525	1.27537	1.27402	1.27480	998	0	0
2022.01.04	05:00:00	1.27481	1.27522	1.27417	1.27437	851	0	2
2022.01.04	06:00:00	1.27439	1.27451	1.27283	1.27308	727	0	1
