<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.26347	1.26434	1.26284	1.26389	468	0	41
2022.01.03	00:30:00	1.26383	1.26396	1.26337	1.26344	358	0	56
2022.01.03	01:00:00	1.26360	1.26387	1.26280	1.26332	446	0	15
2022.01.03	01:30:00	1.26332	1.26597	1.26329	1.26592	625	0	7
2022.01.03	02:00:00	1.26592	1.26592	1.26480	1.26513	691	0	2
2022.01.03	02:30:00	1.26515	1.26541	1.26505	1.26537	468	0	3
2022.01.03	03:00:00	1.26537	1.26549	1.26446	1.26478	593	0	0
2022.01.03	03:30:00	1.26477	1.26646	1.26463	1.26620	547	0	1
2022.01.03	04:00:00	1.26620	1.26703	1.26613	1.26654	753	0	0
2022.01.03	04:30:00	1.26654	1.26742	1.26650	1.26733	754	0	2
2022.01.03	05:00:00	1.26733	1.26794	1.26709	1.26771	355	0	0
2022.01.03	05:30:00	1.26772	1.26856	1.26764	1.26784	438	0	1
2022.01.03	06:00:00	1.26784	1.26801	1.26695	1.26700	403	0	1
2022.01.03	06:30:00	1.26700	1.26801	1.26688	1.26764	350	0	2
2022.01.03	07:00:00	1.26762	1.26815	1.26759	1.26812	309	0	0
2022.01.03	07:30:00	1.26813	1.26823	1.26775	1.26798	330	0	0
2022.01.03	08:00:00	1.26798	1.26856	1.26754	1.26831	252	0	0
2022.01.03	08:30:00	1.26830	1.26852	1.26771	1.26781	544	0	0
2022.01.03	09:00:00	1.26781	1.26860	1.26778	1.26831	633	0	1
2022.01.03	09:30:00	1.26831	1.26848	1.26748	1.26754	560	0	1
2022.01.03	10:00:00	1.26754	1.26781	1.26665	1.26693	1184	0	0
2022.01.03	10:30:00	1.26693	1.26740	1.26668	1.26716	796	0	0
2022.01.03	11:00:00	1.26719	1.26764	1.26704	1.26756	887	0	0
2022.01.03	11:30:00	1.26756	1.26838	1.26752	1.26801	931	0	1
2022.01.03	12:00:00	1.26802	1.26806	1.26743	1.26761	781	0	1
2022.01.03	12:30:00	1.26761	1.26813	1.26759	1.26807	575	0	0
2022.01.03	13:00:00	1.26807	1.26847	1.26786	1.26813	818	0	2
2022.01.03	13:30:00	1.26813	1.26845	1.26799	1.26827	803	0	1
2022.01.03	14:00:00	1.26827	1.26858	1.26809	1.26812	830	0	1
2022.01.03	14:30:00	1.26812	1.26849	1.26799	1.26816	411	0	1
2022.01.03	15:00:00	1.26815	1.27090	1.26815	1.27035	1117	0	1
2022.01.03	15:30:00	1.27029	1.27193	1.27029	1.27159	1254	0	1
2022.01.03	16:00:00	1.27157	1.27400	1.27145	1.27386	1206	0	0
2022.01.03	16:30:00	1.27386	1.27485	1.27311	1.27392	2829	0	0
2022.01.03	17:00:00	1.27390	1.27591	1.27339	1.27579	2701	0	0
2022.01.03	17:30:00	1.27578	1.27788	1.27574	1.27726	2381	0	0
2022.01.03	18:00:00	1.27723	1.27732	1.27556	1.27577	1566	0	0
2022.01.03	18:30:00	1.27575	1.27630	1.27520	1.27563	1423	0	1
2022.01.03	19:00:00	1.27563	1.27594	1.27500	1.27557	1315	0	0
2022.01.03	19:30:00	1.27557	1.27571	1.27507	1.27551	581	0	0
2022.01.03	20:00:00	1.27550	1.27557	1.27494	1.27502	575	0	1
2022.01.03	20:30:00	1.27502	1.27513	1.27436	1.27438	493	0	0
2022.01.03	21:00:00	1.27438	1.27530	1.27438	1.27526	975	0	2
2022.01.03	21:30:00	1.27526	1.27543	1.27456	1.27468	726	0	0
2022.01.03	22:00:00	1.27469	1.27577	1.27435	1.27565	935	0	4
2022.01.03	22:30:00	1.27563	1.27580	1.27488	1.27520	947	0	0
2022.01.03	23:00:00	1.27520	1.27543	1.27471	1.27515	480	0	4
2022.01.03	23:30:00	1.27519	1.27519	1.27435	1.27438	345	0	8
2022.01.04	00:00:00	1.27426	1.27496	1.27368	1.27464	502	0	65
2022.01.04	00:30:00	1.27459	1.27490	1.27443	1.27467	1704	0	76
2022.01.04	01:00:00	1.27467	1.27500	1.27432	1.27461	449	0	10
2022.01.04	01:30:00	1.27460	1.27512	1.27450	1.27511	406	0	10
2022.01.04	02:00:00	1.27510	1.27528	1.27432	1.27493	443	0	0
2022.01.04	02:30:00	1.27495	1.27550	1.27452	1.27459	529	0	2
2022.01.04	03:00:00	1.27460	1.27461	1.27370	1.27404	442	0	3
2022.01.04	03:30:00	1.27404	1.27538	1.27404	1.27526	504	0	1
2022.01.04	04:00:00	1.27525	1.27537	1.27424	1.27427	468	0	0
2022.01.04	04:30:00	1.27427	1.27509	1.27402	1.27480	530	0	1
2022.01.04	05:00:00	1.27481	1.27522	1.27454	1.27458	453	0	3
2022.01.04	05:30:00	1.27457	1.27457	1.27417	1.27437	398	0	2
2022.01.04	06:00:00	1.27439	1.27451	1.27355	1.27357	344	0	1
2022.01.04	06:30:00	1.27356	1.27359	1.27283	1.27308	383	0	1
2022.01.04	07:00:00	1.27310	1.27333	1.27265	1.27286	302	0	0
2022.01.04	07:30:00	1.27286	1.27289	1.27228	1.27230	437	0	0
2022.01.04	08:00:00	1.27230	1.27337	1.27230	1.27322	402	0	0
2022.01.04	08:30:00	1.27321	1.27346	1.27287	1.27335	732	0	0
2022.01.04	09:00:00	1.27334	1.27375	1.27297	1.27345	1223	0	0
2022.01.04	09:30:00	1.27346	1.27353	1.27249	1.27289	1144	0	0
2022.01.04	10:00:00	1.27290	1.27422	1.27290	1.27415	1274	0	0
2022.01.04	10:30:00	1.27415	1.27482	1.27410	1.27457	860	0	2
2022.01.04	11:00:00	1.27457	1.27489	1.27366	1.27390	834	0	0
2022.01.04	11:30:00	1.27391	1.27458	1.27379	1.27456	935	0	0
2022.01.04	12:00:00	1.27455	1.27470	1.27355	1.27399	960	0	2
