<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.35256	1.35336	1.35215	1.35281	392	0	52
2022.01.03	01:00:00	1.35302	1.35328	1.35194	1.35206	532	0	11
2022.01.03	02:00:00	1.35208	1.35253	1.35165	1.35167	683	0	0
2022.01.03	03:00:00	1.35167	1.35295	1.35149	1.35179	1537	0	1
2022.01.03	04:00:00	1.35180	1.35180	1.35035	1.35042	914	0	0
2022.01.03	05:00:00	1.35043	1.35063	1.34946	1.34989	770	0	0
2022.01.03	06:00:00	1.34989	1.35054	1.34949	1.34979	528	0	1
2022.01.03	07:00:00	1.34979	1.35005	1.34949	1.34983	555	0	1
2022.01.03	08:00:00	1.34983	1.35073	1.34972	1.35048	705	0	1
2022.01.03	09:00:00	1.35058	1.35066	1.34960	1.35055	1335	0	1
2022.01.03	10:00:00	1.35055	1.35229	1.35027	1.35222	2452	0	0
2022.01.03	11:00:00	1.35221	1.35280	1.35125	1.35168	2114	0	0
2022.01.03	12:00:00	1.35168	1.35245	1.35087	1.35110	2189	0	0
2022.01.03	13:00:00	1.35113	1.35219	1.35079	1.35103	1896	0	1
2022.01.03	14:00:00	1.35103	1.35122	1.35004	1.35053	1914	0	0
2022.01.03	15:00:00	1.35052	1.35062	1.34831	1.34868	3776	0	0
2022.01.03	16:00:00	1.34868	1.34919	1.34545	1.34601	4472	0	0
2022.01.03	17:00:00	1.34604	1.34647	1.34308	1.34464	5324	0	0
2022.01.03	18:00:00	1.34464	1.34689	1.34362	1.34661	3703	0	0
2022.01.03	19:00:00	1.34661	1.34768	1.34655	1.34710	1843	0	0
2022.01.03	20:00:00	1.34711	1.34835	1.34700	1.34790	1394	0	0
2022.01.03	21:00:00	1.34789	1.34856	1.34774	1.34843	1682	0	0
2022.01.03	22:00:00	1.34843	1.34852	1.34738	1.34788	1675	0	0
2022.01.03	23:00:00	1.34788	1.34817	1.34756	1.34786	713	0	6
2022.01.04	00:00:00	1.34763	1.34788	1.34653	1.34732	460	0	33
2022.01.04	01:00:00	1.34727	1.34841	1.34721	1.34812	549	0	12
2022.01.04	02:00:00	1.34812	1.34843	1.34724	1.34780	784	0	2
2022.01.04	03:00:00	1.34776	1.34832	1.34766	1.34798	718	0	3
2022.01.04	04:00:00	1.34799	1.34802	1.34717	1.34729	844	0	2
2022.01.04	05:00:00	1.34728	1.34740	1.34625	1.34641	730	0	1
2022.01.04	06:00:00	1.34640	1.34763	1.34631	1.34695	717	0	1
2022.01.04	07:00:00	1.34694	1.34732	1.34667	1.34685	808	0	1
2022.01.04	08:00:00	1.34691	1.34701	1.34597	1.34635	985	0	0
2022.01.04	09:00:00	1.34634	1.34888	1.34610	1.34883	1737	0	1
2022.01.04	10:00:00	1.34883	1.35019	1.34827	1.34912	2650	0	0
2022.01.04	11:00:00	1.34912	1.35136	1.34884	1.35109	3286	0	0
2022.01.04	12:00:00	1.35102	1.35148	1.35000	1.35001	2890	0	0
2022.01.04	13:00:00	1.35001	1.35026	1.34842	1.34955	2719	0	0
2022.01.04	14:00:00	1.34954	1.34961	1.34788	1.34829	2821	0	0
2022.01.04	15:00:00	1.34829	1.35151	1.34828	1.35147	3556	0	0
2022.01.04	16:00:00	1.35150	1.35293	1.35087	1.35155	3751	0	0
2022.01.04	17:00:00	1.35156	1.35575	1.35156	1.35531	5275	0	0
2022.01.04	18:00:00	1.35531	1.35539	1.35343	1.35419	4390	0	0
2022.01.04	19:00:00	1.35418	1.35480	1.35342	1.35357	1894	0	0
2022.01.04	20:00:00	1.35355	1.35366	1.35210	1.35224	2074	0	0
2022.01.04	21:00:00	1.35225	1.35370	1.35201	1.35344	1650	0	0
2022.01.04	22:00:00	1.35344	1.35375	1.35251	1.35284	1271	0	0
2022.01.04	23:00:00	1.35285	1.35314	1.35252	1.35281	851	0	4
2022.01.05	00:00:00	1.35254	1.35293	1.35197	1.35230	865	0	27
2022.01.05	01:00:00	1.35241	1.35301	1.35231	1.35290	413	0	12
2022.01.05	02:00:00	1.35290	1.35353	1.35265	1.35294	752	0	0
