<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	0.84000	0.84037	0.83892	0.84005	86	0	64
2022.01.03	00:15:00	0.83961	0.84036	0.83924	0.84022	75	0	112
2022.01.03	00:30:00	0.84022	0.84055	0.83985	0.84014	133	0	85
2022.01.03	00:45:00	0.84019	0.84075	0.84004	0.84018	403	0	45
2022.01.03	01:00:00	0.84017	0.84082	0.83999	0.84066	331	0	16
2022.01.03	01:15:00	0.84066	0.84087	0.84061	0.84087	182	0	14
2022.01.03	01:30:00	0.84087	0.84095	0.84065	0.84090	251	0	14
2022.01.03	01:45:00	0.84089	0.84104	0.84080	0.84103	167	0	10
2022.01.03	02:00:00	0.84103	0.84121	0.84086	0.84090	198	0	3
2022.01.03	02:15:00	0.84090	0.84091	0.84044	0.84047	184	0	3
2022.01.03	02:30:00	0.84046	0.84049	0.84005	0.84011	240	0	2
2022.01.03	02:45:00	0.84011	0.84058	0.84008	0.84057	417	0	2
2022.01.03	03:00:00	0.84058	0.84068	0.84019	0.84023	270	0	2
2022.01.03	03:15:00	0.84022	0.84023	0.83995	0.83999	212	0	2
2022.01.03	03:30:00	0.83999	0.84011	0.83971	0.84004	336	0	3
2022.01.03	03:45:00	0.84006	0.84031	0.83976	0.84023	319	0	2
2022.01.03	04:00:00	0.84024	0.84028	0.83990	0.83996	276	0	2
2022.01.03	04:15:00	0.83996	0.84005	0.83984	0.84004	214	0	3
2022.01.03	04:30:00	0.84004	0.84013	0.83992	0.83992	282	0	2
2022.01.03	04:45:00	0.83991	0.84018	0.83985	0.83989	267	0	3
2022.01.03	05:00:00	0.83991	0.84012	0.83985	0.84010	151	0	3
2022.01.03	05:15:00	0.84011	0.84038	0.84011	0.84031	157	0	2
2022.01.03	05:30:00	0.84031	0.84063	0.84029	0.84055	209	0	1
2022.01.03	05:45:00	0.84055	0.84069	0.84049	0.84068	229	0	1
2022.01.03	06:00:00	0.84068	0.84068	0.84012	0.84017	235	0	2
2022.01.03	06:15:00	0.84017	0.84027	0.84007	0.84027	112	0	3
2022.01.03	06:30:00	0.84027	0.84027	0.84016	0.84019	81	0	3
2022.01.03	06:45:00	0.84016	0.84034	0.84004	0.84013	153	0	3
2022.01.03	07:00:00	0.84013	0.84013	0.83994	0.84007	105	0	7
2022.01.03	07:15:00	0.84007	0.84007	0.83991	0.83993	102	0	3
2022.01.03	07:30:00	0.83990	0.84006	0.83987	0.84006	149	0	3
2022.01.03	07:45:00	0.84006	0.84009	0.83990	0.83992	122	0	3
2022.01.03	08:00:00	0.83993	0.83999	0.83973	0.83983	149	0	2
2022.01.03	08:15:00	0.83983	0.84010	0.83983	0.84004	114	0	3
