<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	0.84000	0.84075	0.83892	0.84018	697	0	45
2022.01.03	01:00:00	0.84017	0.84104	0.83999	0.84103	931	0	10
2022.01.03	02:00:00	0.84103	0.84121	0.84005	0.84057	1039	0	2
2022.01.03	03:00:00	0.84058	0.84068	0.83971	0.84023	1137	0	2
2022.01.03	04:00:00	0.84024	0.84028	0.83984	0.83989	1039	0	2
2022.01.03	05:00:00	0.83991	0.84069	0.83985	0.84068	746	0	1
2022.01.03	06:00:00	0.84068	0.84068	0.84004	0.84013	581	0	2
2022.01.03	07:00:00	0.84013	0.84013	0.83987	0.83992	478	0	3
2022.01.03	08:00:00	0.83993	0.84011	0.83973	0.83984	573	0	2
2022.01.03	09:00:00	0.83986	0.84045	0.83965	0.84022	1479	0	1
2022.01.03	10:00:00	0.84022	0.84022	0.83867	0.83911	2732	0	1
2022.01.03	11:00:00	0.83909	0.84002	0.83866	0.83980	2500	0	1
2022.01.03	12:00:00	0.83980	0.84067	0.83965	0.84044	2062	0	1
2022.01.03	13:00:00	0.84042	0.84069	0.84010	0.84047	2184	0	1
2022.01.03	14:00:00	0.84047	0.84101	0.84011	0.84097	2456	0	1
2022.01.03	15:00:00	0.84098	0.84183	0.84070	0.84157	3567	0	1
2022.01.03	16:00:00	0.84157	0.84167	0.83977	0.83994	5186	0	1
2022.01.03	17:00:00	0.83996	0.84103	0.83965	0.83967	5147	0	1
2022.01.03	18:00:00	0.83968	0.84053	0.83779	0.83829	4238	0	1
2022.01.03	19:00:00	0.83829	0.83832	0.83720	0.83759	2503	0	1
2022.01.03	20:00:00	0.83759	0.83795	0.83743	0.83795	1312	0	1
2022.01.03	21:00:00	0.83794	0.83806	0.83773	0.83783	1801	0	1
2022.01.03	22:00:00	0.83782	0.83839	0.83778	0.83805	1543	0	2
2022.01.03	23:00:00	0.83805	0.83824	0.83788	0.83801	822	0	4
