<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.13693	1.13729	1.13645	1.13713	98	0	22
2022.01.03	00:15:00	1.13708	1.13723	1.13688	1.13708	104	0	37
2022.01.03	00:30:00	1.13705	1.13734	1.13699	1.13731	146	0	34
2022.01.03	00:45:00	1.13731	1.13742	1.13718	1.13726	223	0	17
2022.01.03	01:00:00	1.13725	1.13778	1.13717	1.13721	612	0	7
2022.01.03	01:15:00	1.13726	1.13758	1.13690	1.13723	278	0	7
2022.01.03	01:30:00	1.13726	1.13734	1.13688	1.13723	213	0	7
2022.01.03	01:45:00	1.13726	1.13728	1.13687	1.13728	242	0	7
2022.01.03	02:00:00	1.13728	1.13759	1.13702	1.13707	208	0	0
2022.01.03	02:15:00	1.13704	1.13711	1.13662	1.13665	260	0	0
2022.01.03	02:30:00	1.13664	1.13670	1.13608	1.13625	306	0	1
2022.01.03	02:45:00	1.13623	1.13639	1.13610	1.13622	280	0	0
2022.01.03	03:00:00	1.13622	1.13650	1.13612	1.13631	217	0	0
2022.01.03	03:15:00	1.13628	1.13654	1.13597	1.13628	227	0	1
2022.01.03	03:30:00	1.13615	1.13617	1.13497	1.13578	538	0	0
2022.01.03	03:45:00	1.13578	1.13604	1.13518	1.13588	367	0	0
2022.01.03	04:00:00	1.13588	1.13589	1.13490	1.13499	408	0	0
2022.01.03	04:15:00	1.13493	1.13512	1.13483	1.13495	255	0	0
2022.01.03	04:30:00	1.13496	1.13499	1.13447	1.13491	180	0	0
2022.01.03	04:45:00	1.13486	1.13493	1.13422	1.13427	248	0	1
2022.01.03	05:00:00	1.13430	1.13471	1.13423	1.13443	252	0	0
2022.01.03	05:15:00	1.13435	1.13441	1.13424	1.13440	117	0	0
2022.01.03	05:30:00	1.13440	1.13468	1.13413	1.13464	201	0	0
2022.01.03	05:45:00	1.13463	1.13500	1.13455	1.13482	237	0	0
2022.01.03	06:00:00	1.13483	1.13483	1.13430	1.13465	171	0	0
2022.01.03	06:15:00	1.13466	1.13490	1.13454	1.13485	152	0	0
2022.01.03	06:30:00	1.13482	1.13482	1.13463	1.13464	94	0	0
2022.01.03	06:45:00	1.13463	1.13465	1.13387	1.13406	252	0	0
2022.01.03	07:00:00	1.13406	1.13414	1.13392	1.13401	144	0	0
2022.01.03	07:15:00	1.13397	1.13409	1.13365	1.13368	150	0	0
2022.01.03	07:30:00	1.13368	1.13407	1.13360	1.13405	160	0	0
2022.01.03	07:45:00	1.13409	1.13410	1.13372	1.13380	204	0	0
2022.01.03	08:00:00	1.13380	1.13423	1.13379	1.13402	221	0	0
2022.01.03	08:15:00	1.13402	1.13430	1.13382	1.13412	222	0	1
2022.01.03	08:30:00	1.13412	1.13453	1.13410	1.13434	214	0	0
2022.01.03	08:45:00	1.13434	1.13465	1.13429	1.13430	220	0	0
2022.01.03	09:00:00	1.13431	1.13460	1.13395	1.13442	580	0	0
2022.01.03	09:15:00	1.13442	1.13442	1.13361	1.13365	302	0	0
2022.01.03	09:30:00	1.13365	1.13397	1.13349	1.13397	355	0	1
2022.01.03	09:45:00	1.13397	1.13501	1.13359	1.13480	711	0	1
2022.01.03	10:00:00	1.13479	1.13479	1.13367	1.13423	1212	0	0
2022.01.03	10:15:00	1.13422	1.13462	1.13354	1.13369	773	0	0
2022.01.03	10:30:00	1.13371	1.13418	1.13352	1.13396	564	0	1
2022.01.03	10:45:00	1.13396	1.13473	1.13381	1.13468	750	0	0
2022.01.03	11:00:00	1.13466	1.13567	1.13447	1.13561	668	0	1
2022.01.03	11:15:00	1.13561	1.13561	1.13384	1.13392	731	0	0
2022.01.03	11:30:00	1.13389	1.13517	1.13355	1.13480	838	0	1
2022.01.03	11:45:00	1.13480	1.13559	1.13446	1.13518	746	0	0
2022.01.03	12:00:00	1.13518	1.13589	1.13506	1.13578	610	0	1
