<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.13650	1.13787	1.13501	1.13587	4448	0	0
2022.01.03	04:00:00	1.13587	1.13587	1.13362	1.13380	3593	0	0
2022.01.03	08:00:00	1.13380	1.13564	1.13351	1.13519	10838	0	0
2022.01.03	12:00:00	1.13519	1.13664	1.13461	1.13509	15120	0	0
2022.01.03	16:00:00	1.13509	1.13520	1.12797	1.12839	19668	0	0
2022.01.03	20:00:00	1.12840	1.13005	1.12834	1.12978	4513	0	0
2022.01.04	00:00:00	1.12964	1.13089	1.12929	1.13067	5711	0	0
2022.01.04	04:00:00	1.13067	1.13096	1.12956	1.13050	4621	0	0
2022.01.04	08:00:00	1.13049	1.13083	1.12833	1.13021	12611	0	0
2022.01.04	12:00:00	1.13021	1.13057	1.12724	1.12802	16571	0	0
2022.01.04	16:00:00	1.12802	1.13226	1.12776	1.12938	21261	0	0
2022.01.04	20:00:00	1.12939	1.12944	1.12781	1.12876	6130	0	0
2022.01.05	00:00:00	1.12812	1.12888	1.12772	1.12858	3371	0	0
2022.01.05	04:00:00	1.12856	1.12970	1.12852	1.12940	3785	0	0
2022.01.05	08:00:00	1.12938	1.13111	1.12931	1.13063	10647	0	0
2022.01.05	12:00:00	1.13063	1.13289	1.13033	1.13240	19122	0	0
2022.01.05	16:00:00	1.13239	1.13466	1.13212	1.13415	15713	0	0
2022.01.05	20:00:00	1.13414	1.13447	1.13023	1.13124	14334	0	0
2022.01.06	00:00:00	1.13130	1.13187	1.13050	1.13167	4948	0	0
2022.01.06	04:00:00	1.13167	1.13207	1.13072	1.13093	5786	0	0
2022.01.06	08:00:00	1.13093	1.13095	1.12847	1.13053	13930	0	0
2022.01.06	12:00:00	1.13053	1.13270	1.13023	1.13124	20134	0	0
2022.01.06	16:00:00	1.13125	1.13320	1.12903	1.12960	24986	0	0
2022.01.06	20:00:00	1.12959	1.12999	1.12863	1.12983	6199	0	0
2022.01.07	00:00:00	1.12966	1.13010	1.12901	1.13009	3415	0	0
2022.01.07	04:00:00	1.13010	1.13034	1.12953	1.13023	3182	0	0
2022.01.07	08:00:00	1.13022	1.13175	1.12982	1.13148	9703	0	0
2022.01.07	12:00:00	1.13151	1.13228	1.12924	1.13019	20543	0	0
2022.01.07	16:00:00	1.13019	1.13587	1.12990	1.13568	23602	0	0
2022.01.07	20:00:00	1.13567	1.13649	1.13548	1.13608	4533	0	0
2022.01.10	00:00:00	1.13558	1.13605	1.13497	1.13503	4056	0	0
2022.01.10	04:00:00	1.13504	1.13520	1.13321	1.13350	2931	0	0
2022.01.10	08:00:00	1.13349	1.13447	1.13208	1.13267	13775	0	0
2022.01.10	12:00:00	1.13267	1.13364	1.12951	1.12971	18752	0	0
2022.01.10	16:00:00	1.12971	1.13349	1.12850	1.13287	22571	0	0
2022.01.10	20:00:00	1.13287	1.13313	1.13202	1.13281	6888	0	0
2022.01.11	00:00:00	1.13205	1.13419	1.13190	1.13365	4241	0	0
2022.01.11	04:00:00	1.13365	1.13444	1.13347	1.13390	4484	0	0
2022.01.11	08:00:00	1.13389	1.13520	1.13288	1.13335	13373	0	0
2022.01.11	12:00:00	1.13335	1.13437	1.13233	1.13260	15820	0	0
2022.01.11	16:00:00	1.13260	1.13687	1.13130	1.13543	19496	0	0
2022.01.11	20:00:00	1.13542	1.13754	1.13522	1.13686	6130	0	0
2022.01.12	00:00:00	1.13673	1.13735	1.13643	1.13701	3018	0	0
2022.01.12	04:00:00	1.13701	1.13782	1.13680	1.13733	3288	0	0
2022.01.12	08:00:00	1.13732	1.13751	1.13551	1.13672	10706	0	0
2022.01.12	12:00:00	1.13672	1.14154	1.13548	1.14100	20170	0	0
2022.01.12	16:00:00	1.14100	1.14454	1.13947	1.14440	23657	0	0
2022.01.12	20:00:00	1.14441	1.14529	1.14384	1.14414	7108	0	0
2022.01.13	00:00:00	1.14415	1.14483	1.14359	1.14390	3855	0	0
2022.01.13	04:00:00	1.14390	1.14474	1.14359	1.14412	3880	0	0
2022.01.13	08:00:00	1.14412	1.14784	1.14385	1.14714	13595	0	0
2022.01.13	12:00:00	1.14716	1.14777	1.14533	1.14721	17922	0	0
2022.01.13	16:00:00	1.14722	1.14817	1.14473	1.14615	20944	0	0
2022.01.13	20:00:00	1.14615	1.14665	1.14509	1.14543	7529	0	0
2022.01.14	00:00:00	1.14540	1.14682	1.14514	1.14663	5388	0	0
2022.01.14	04:00:00	1.14663	1.14829	1.14626	1.14790	6361	0	0
2022.01.14	08:00:00	1.14788	1.14808	1.14573	1.14583	13897	0	0
2022.01.14	12:00:00	1.14583	1.14611	1.14334	1.14383	17870	0	0
2022.01.14	16:00:00	1.14383	1.14501	1.13986	1.14022	26149	0	0
2022.01.14	20:00:00	1.14022	1.14178	1.14014	1.14148	6058	0	0
2022.01.17	00:00:00	1.14143	1.14160	1.14002	1.14047	5106	0	0
2022.01.17	04:00:00	1.14048	1.14226	1.14040	1.14190	3670	0	0
2022.01.17	08:00:00	1.14190	1.14345	1.14121	1.14240	9893	0	0
2022.01.17	12:00:00	1.14240	1.14267	1.13920	1.14017	13540	0	0
2022.01.17	16:00:00	1.14016	1.14159	1.13955	1.14119	11856	0	0
2022.01.17	20:00:00	1.14118	1.14137	1.14047	1.14058	1352	0	0
2022.01.18	00:00:00	1.14057	1.14208	1.14051	1.14191	3826	0	0
2022.01.18	04:00:00	1.14192	1.14216	1.13852	1.13972	11007	0	0
2022.01.18	08:00:00	1.13971	1.14060	1.13860	1.13950	20969	0	0
